Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066062,1899,02,24.6,Y
IDCJAC0002,066062,1899,03,25.3,Y
IDCJAC0002,066062,1899,04,21.8,Y
IDCJAC0002,066062,1899,05,17.6,Y
IDCJAC0002,066062,1899,06,15.1,Y
IDCJAC0002,066062,1899,07,14.2,Y
IDCJAC0002,066062,1899,08,15.2,Y
IDCJAC0002,066062,1899,09,20.5,Y
IDCJAC0002,066062,1899,10,20.9,Y
IDCJAC0002,066062,1899,11,23.9,Y
IDCJAC0002,066062,1899,12,26.2,Y
IDCJAC0002,066062,1900,01,26.6,Y
IDCJAC0002,066062,1900,02,25.9,Y
IDCJAC0002,066062,1900,03,24.9,Y
IDCJAC0002,066062,1900,04,20.6,Y
IDCJAC0002,066062,1900,05,17.3,Y
IDCJAC0002,066062,1900,06,15.8,Y
IDCJAC0002,066062,1900,07,13.9,Y
IDCJAC0002,066062,1900,08,16.1,Y
IDCJAC0002,066062,1900,09,18.1,Y
IDCJAC0002,066062,1900,10,23.7,Y
IDCJAC0002,066062,1900,11,23.1,Y
IDCJAC0002,066062,1900,12,25.2,Y
IDCJAC0002,066062,1901,01,25.3,Y
IDCJAC0002,066062,1901,02,25.2,Y
IDCJAC0002,066062,1901,03,24.3,Y
IDCJAC0002,066062,1901,04,21.8,Y
IDCJAC0002,066062,1901,05,18.8,Y
IDCJAC0002,066062,1901,06,14.3,Y
IDCJAC0002,066062,1901,07,13.4,Y
IDCJAC0002,066062,1901,08,15.8,Y
IDCJAC0002,066062,1901,09,21.1,Y
IDCJAC0002,066062,1901,10,21.7,Y
IDCJAC0002,066062,1901,11,24.6,Y
IDCJAC0002,066062,1901,12,25.3,Y
IDCJAC0002,066062,1902,01,25.6,Y
IDCJAC0002,066062,1902,02,26.2,Y
IDCJAC0002,066062,1902,03,23.8,Y
IDCJAC0002,066062,1902,04,21.0,Y
IDCJAC0002,066062,1902,05,18.2,Y
IDCJAC0002,066062,1902,06,16.2,Y
IDCJAC0002,066062,1902,07,15.2,Y
IDCJAC0002,066062,1902,08,15.2,Y
IDCJAC0002,066062,1902,09,18.9,Y
IDCJAC0002,066062,1902,10,21.0,Y
IDCJAC0002,066062,1902,11,24.7,Y
IDCJAC0002,066062,1902,12,25.7,Y
IDCJAC0002,066062,1903,01,25.2,Y
IDCJAC0002,066062,1903,02,27.2,Y
IDCJAC0002,066062,1903,03,25.9,Y
IDCJAC0002,066062,1903,04,22.1,Y
IDCJAC0002,066062,1903,05,17.7,Y
IDCJAC0002,066062,1903,06,15.4,Y
IDCJAC0002,066062,1903,07,14.0,Y
IDCJAC0002,066062,1903,08,15.7,Y
IDCJAC0002,066062,1903,09,19.6,Y
IDCJAC0002,066062,1903,10,19.2,Y
IDCJAC0002,066062,1903,11,22.0,Y
IDCJAC0002,066062,1903,12,24.2,Y
IDCJAC0002,066062,1904,01,25.2,Y
IDCJAC0002,066062,1904,02,24.5,Y
IDCJAC0002,066062,1904,03,22.6,Y
IDCJAC0002,066062,1904,04,20.9,Y
IDCJAC0002,066062,1904,05,18.5,Y
IDCJAC0002,066062,1904,06,15.0,Y
IDCJAC0002,066062,1904,07,14.5,Y
IDCJAC0002,066062,1904,08,16.8,Y
IDCJAC0002,066062,1904,09,18.9,Y
IDCJAC0002,066062,1904,10,21.9,Y
IDCJAC0002,066062,1904,11,25.8,Y
IDCJAC0002,066062,1904,12,26.6,Y
IDCJAC0002,066062,1905,01,26.2,Y
IDCJAC0002,066062,1905,02,25.2,Y
IDCJAC0002,066062,1905,03,24.2,Y
IDCJAC0002,066062,1905,04,22.0,Y
IDCJAC0002,066062,1905,05,18.8,Y
IDCJAC0002,066062,1905,06,16.2,Y
IDCJAC0002,066062,1905,07,15.0,Y
IDCJAC0002,066062,1905,08,16.9,Y
IDCJAC0002,066062,1905,09,18.0,Y
IDCJAC0002,066062,1905,10,19.6,Y
IDCJAC0002,066062,1905,11,24.8,Y
IDCJAC0002,066062,1905,12,23.5,Y
IDCJAC0002,066062,1906,01,25.5,Y
IDCJAC0002,066062,1906,02,25.9,Y
IDCJAC0002,066062,1906,03,23.7,Y
IDCJAC0002,066062,1906,04,24.3,Y
IDCJAC0002,066062,1906,05,19.5,Y
IDCJAC0002,066062,1906,06,16.9,Y
IDCJAC0002,066062,1906,07,16.6,Y
IDCJAC0002,066062,1906,08,16.5,Y
IDCJAC0002,066062,1906,09,18.1,Y
IDCJAC0002,066062,1906,10,23.1,Y
